run_id,candidate_id,candidate,model,prompt_strategy,target_class,saturation_level,text_type,source_adapter,source_file,original_text,normalized_text,phonemes,total_phonemes,target_count,saturation_percentage,passes_saturation,is_valid,failure_reasons,word_count,dictionary_mode,dictionary_backend,dictionary_word_validity,dictionary_invalid_words,dictionary_unknown_words,dictionary_review_complete,candidate_hjp_valid,hjp_unknown_words,hjp_invalid_words,hjp_review_complete
20260604_160319,20260604_160319_00048,Bubanj puni buku.,ChatGPT Plus,paper_style,N,50.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Bubanj puni buku.,bubanj puni buku,b u b a nj p u n i b u k u,13,10,76.92307692307693,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00060,Mama puni pumpu.,ChatGPT Plus,strict_plain_list,N,50.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Mama puni pumpu.,mama puni pumpu,m a m a p u n i p u m p u,13,10,76.92307692307693,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00067,Unuk pumpa gumu.,ChatGPT Plus,strict_plain_list,N,50.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Unuk pumpa gumu.,unuk pumpa gumu,u n u k p u m p a g u m u,13,10,76.92307692307693,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00040,Mama mumlja punu bundu.,ChatGPT Plus,paper_style,N,50.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Mama mumlja punu bundu.,mama mumlja punu bundu,m a m a m u m lj a p u n u b u n d u,18,13,72.22222222222221,True,True,,4,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00045,Mamin unuk bubnja.,ChatGPT Plus,paper_style,N,50.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Mamin unuk bubnja.,mamin unuk bubnja,m a m i n u n u k b u b nj a,14,10,71.42857142857143,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00132,Unuk pumpa pumpu.,ChatGPT Plus,paper_style,N,70.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Unuk pumpa pumpu.,unuk pumpa pumpu,u n u k p u m p a p u m p u,14,12,85.71428571428571,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00153,Buba pumpa pumpu.,ChatGPT Plus,strict_plain_list,N,70.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Buba pumpa pumpu.,buba pumpa pumpu,b u b a p u m p a p u m p u,14,12,85.71428571428571,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00126,Buba puni pumpu.,ChatGPT Plus,paper_style,N,70.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Buba puni pumpu.,buba puni pumpu,b u b a p u n i p u m p u,13,11,84.61538461538461,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00143,Unuk puni pumpu.,ChatGPT Plus,strict_plain_list,N,70.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Unuk puni pumpu.,unuk puni pumpu,u n u k p u n i p u m p u,13,11,84.61538461538461,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00120,Mama pumpa pumpu.,ChatGPT Plus,paper_style,N,70.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Mama pumpa pumpu.,mama pumpa pumpu,m a m a p u m p a p u m p u,14,11,78.57142857142857,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00370,Draga rada radi.,ChatGPT Plus,paper_style,S,50.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Draga rada radi.,draga rada radi,d r a g a r a d a r a d i,13,11,84.61538461538461,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00382,Kadar radi rado.,ChatGPT Plus,strict_plain_list,S,50.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Kadar radi rado.,kadar radi rado,k a d a r r a d i r a d o,13,11,84.61538461538461,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00383,Draga Dara radi.,ChatGPT Plus,strict_plain_list,S,50.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Draga Dara radi.,draga dara radi,d r a g a d a r a r a d i,13,11,84.61538461538461,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00390,Radar kvari rad.,ChatGPT Plus,strict_plain_list,S,50.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Radar kvari rad.,radar kvari rad,r a d a r k v a r i r a d,13,11,84.61538461538461,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00399,Ratar krade rak.,ChatGPT Plus,strict_plain_list,S,50.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Ratar krade rak.,ratar krade rak,r a t a r k r a d e r a k,13,11,84.61538461538461,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00455,Kadar krade raka.,ChatGPT Plus,paper_style,S,70.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Kadar krade raka.,kadar krade raka,k a d a r k r a d e r a k a,14,13,92.85714285714286,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00448,Kadar ratar radi.,ChatGPT Plus,paper_style,S,70.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Kadar ratar radi.,kadar ratar radi,k a d a r r a t a r r a d i,14,12,85.71428571428571,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00449,Radar daje kadar.,ChatGPT Plus,paper_style,S,70.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Radar daje kadar.,radar daje kadar,r a d a r d a j e k a d a r,14,12,85.71428571428571,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00442,Radar rado radi.,ChatGPT Plus,paper_style,S,70.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Radar rado radi.,radar rado radi,r a d a r r a d o r a d i,13,11,84.61538461538461,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00443,Ratar krade dar.,ChatGPT Plus,paper_style,S,70.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Ratar krade dar.,ratar krade dar,r a t a r k r a d e d a r,13,11,84.61538461538461,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00200,Vol voli glog.,ChatGPT Plus,paper_style,SN,50.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Vol voli glog.,vol voli glog,v o l v o l i g l o g,11,10,90.9090909090909,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00221,Golub voli glog,ChatGPT Plus,strict_plain_list,SN,50.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Golub voli glog,golub voli glog,g o l u b v o l i g l o g,13,10,76.92307692307693,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
20260604_160319,20260604_160319_00223,Glog voli vlagu,ChatGPT Plus,strict_plain_list,SN,50.0,sentence,manual_csv,data/chatgpt_plus_task16_full.csv,Glog voli vlagu,glog voli vlagu,g l o g v o l i v l a g u,13,10,76.92307692307693,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes,yes,,,yes
