candidate_id,candidate,normalized_text,tts_adapter,tts_model_or_voice,audio_path,target_class,saturation_level,text_type,human_intelligibility_score,human_naturalness_score,pronunciation_notes,clinical_suitability_notes
20260604_160319_00048,Bubanj puni buku.,bubanj puni buku,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00048.wav,N,50.0,sentence,1,1,,
20260604_160319_00060,Mama puni pumpu.,mama puni pumpu,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00060.wav,N,50.0,sentence,1,1,,
20260604_160319_00067,Unuk pumpa gumu.,unuk pumpa gumu,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00067.wav,N,50.0,sentence,1,1,,
20260604_160319_00040,Mama mumlja punu bundu.,mama mumlja punu bundu,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00040.wav,N,50.0,sentence,1,1,,
20260604_160319_00045,Mamin unuk bubnja.,mamin unuk bubnja,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00045.wav,N,50.0,sentence,3,3,,
20260604_160319_00132,Unuk pumpa pumpu.,unuk pumpa pumpu,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00132.wav,N,70.0,sentence,1,1,,
20260604_160319_00153,Buba pumpa pumpu.,buba pumpa pumpu,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00153.wav,N,70.0,sentence,2,2,,
20260604_160319_00126,Buba puni pumpu.,buba puni pumpu,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00126.wav,N,70.0,sentence,3,3,,
20260604_160319_00143,Unuk puni pumpu.,unuk puni pumpu,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00143.wav,N,70.0,sentence,1,1,,
20260604_160319_00120,Mama pumpa pumpu.,mama pumpa pumpu,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00120.wav,N,70.0,sentence,2,2,,
20260604_160319_00048,Bubanj puni buku.,bubanj puni buku,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00048.wav,N,50.0,sentence,3,3,,
20260604_160319_00060,Mama puni pumpu.,mama puni pumpu,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00060.wav,N,50.0,sentence,5,3,,
20260604_160319_00067,Unuk pumpa gumu.,unuk pumpa gumu,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00067.wav,N,50.0,sentence,4,3,,
20260604_160319_00040,Mama mumlja punu bundu.,mama mumlja punu bundu,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00040.wav,N,50.0,sentence,5,3,,
20260604_160319_00045,Mamin unuk bubnja.,mamin unuk bubnja,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00045.wav,N,50.0,sentence,4,3,,
20260604_160319_00132,Unuk pumpa pumpu.,unuk pumpa pumpu,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00132.wav,N,70.0,sentence,5,4,,
20260604_160319_00153,Buba pumpa pumpu.,buba pumpa pumpu,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00153.wav,N,70.0,sentence,5,5,,
20260604_160319_00126,Buba puni pumpu.,buba puni pumpu,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00126.wav,N,70.0,sentence,5,4,,
20260604_160319_00143,Unuk puni pumpu.,unuk puni pumpu,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00143.wav,N,70.0,sentence,5,4,,
20260604_160319_00120,Mama pumpa pumpu.,mama pumpa pumpu,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00120.wav,N,70.0,sentence,5,4,,
20260604_160319_00048,Bubanj puni buku.,bubanj puni buku,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00048.wav,N,50.0,sentence,4,5,,
20260604_160319_00060,Mama puni pumpu.,mama puni pumpu,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00060.wav,N,50.0,sentence,4,4,,
20260604_160319_00067,Unuk pumpa gumu.,unuk pumpa gumu,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00067.wav,N,50.0,sentence,5,5,,
20260604_160319_00040,Mama mumlja punu bundu.,mama mumlja punu bundu,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00040.wav,N,50.0,sentence,4,4,,
20260604_160319_00045,Mamin unuk bubnja.,mamin unuk bubnja,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00045.wav,N,50.0,sentence,3,4,,
20260604_160319_00132,Unuk pumpa pumpu.,unuk pumpa pumpu,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00132.wav,N,70.0,sentence,5,5,,
20260604_160319_00153,Buba pumpa pumpu.,buba pumpa pumpu,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00153.wav,N,70.0,sentence,4,5,,
20260604_160319_00126,Buba puni pumpu.,buba puni pumpu,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00126.wav,N,70.0,sentence,5,5,,
20260604_160319_00143,Unuk puni pumpu.,unuk puni pumpu,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00143.wav,N,70.0,sentence,5,5,,
20260604_160319_00120,Mama pumpa pumpu.,mama pumpa pumpu,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00120.wav,N,70.0,sentence,4,5,,
