word,source_candidates_count,example_candidates,models,source_adapters,prompt_strategies,target_classes,text_types,hjp_valid,hjp_entry_checked,reviewer,reviewer_notes
arka,1,arka,ChatGPT Plus,manual_csv,paper_style,S,word,yes,,,
bananu,1,Beba nudi bananu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
bazen,1,Pumpa puni bazen.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
beba,5,Beba ima bundu. | Beba nosi bundu. | Beba ima bubanj. | Beba nosi bubanj. | Beba nudi bananu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
bocu,5,Mama puni bocu. | Pumpa puni bocu. | Unuk puni bocu. | Unuk puni punu bocu. | Pumpa puni punu bocu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
bombon,1,Mama nudi bombon.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
bruji,1,Pun bubanj puno bruji.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
buba,1,buba,ChatGPT Plus,manual_csv,paper_style,N,word,yes,,,
buban,1,buban,ChatGPT Plus,manual_csv,paper_style,N,word,yes,,,
bubanj,13,bubanj | Beba ima bubanj. | Beba nosi bubanj. | Bubanj puni punu sobu. | Bubanj puni punu kuću.,ChatGPT Plus,manual_csv,paper_style,N,sentence;word,yes,,,
bubnja,1,Unuk bubnja punom rukom.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
bubnuti,1,bubnuti,ChatGPT Plus,manual_csv,paper_style,N,word,yes,,,
bum,2,bum,ChatGPT Plus,manual_csv,paper_style,N,word,yes,,,
bumbum,1,bumbum,ChatGPT Plus,manual_csv,paper_style,N,word,no,,,
bumom,1,bumom,ChatGPT Plus,manual_csv,paper_style,N,word,no,,,
buna,4,buna,ChatGPT Plus,manual_csv,paper_style,N,word,yes,,,
bunar,7,bunar | Mama puni bunar. | Bunar ima pumpu. | Puna pumpa puni bunar. | Bubanj puni pun bunar.,ChatGPT Plus,manual_csv,paper_style,N,sentence;word,yes,,,
bunaru,1,Puna pumpa pomaže bunaru.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
bunda,4,bunda | Puna bunda pomaže unuku.,ChatGPT Plus,manual_csv,paper_style,N,sentence;word,yes,,,
bundu,8,Mama kupuje bundu. | Mama nosi bundu. | Mama pere bundu. | Mama ima bundu. | Beba ima bundu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
bunovan,1,bunovan,ChatGPT Plus,manual_csv,paper_style,N,word,yes,,,
cesta,1,cesta,ChatGPT Plus,manual_csv,paper_style,V,word,yes,,,
cestom,2,Teta šeće cestom. | Dijete šeta cestom.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,yes,,,
