tts_adapter,tts_model_or_voice,model,prompt_strategy,target_class,saturation_level,text_type,candidate_count,synthesis_success_rate,suitable_for_audio_eval_rate,average_duration_seconds,average_rms,average_clipping_rate,sample_rate_compliance_rate,format_compliance_rate
espeak_ng,hr,ChatGPT Plus,paper_style,N,50.0,sentence,3,1.0,1.0,1.31,2583.8482406158396,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,strict_plain_list,N,50.0,sentence,2,1.0,1.0,1.164375,2442.003904547093,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,paper_style,N,70.0,sentence,3,1.0,1.0,1.2482916666666666,2382.902261782781,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,strict_plain_list,N,70.0,sentence,2,1.0,1.0,1.24509375,2325.8972120145904,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,paper_style,S,50.0,sentence,1,1.0,1.0,1.198875,3147.7581879888885,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,strict_plain_list,S,50.0,sentence,4,1.0,1.0,1.27046875,2987.3510307785227,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,paper_style,S,70.0,sentence,5,1.0,1.0,1.31535,2998.630378550595,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,paper_style,SN,50.0,sentence,2,1.0,1.0,1.12871875,3111.050576888817,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,strict_plain_list,SN,50.0,sentence,3,1.0,1.0,1.1732291666666665,2923.9427431962595,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,paper_style,SN,70.0,sentence,1,1.0,1.0,1.01525,3194.1832877158554,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,strict_plain_list,SN,70.0,sentence,4,1.0,1.0,1.055046875,3062.3664454669297,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,strict_plain_list,SV,50.0,sentence,3,1.0,1.0,1.3766666666666667,2409.3545444374545,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,paper_style,SV,50.0,sentence,2,1.0,1.0,1.6299375,2501.939014194683,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,paper_style,SV,70.0,sentence,4,1.0,1.0,1.370890625,2415.4808201926157,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,strict_plain_list,SV,70.0,sentence,1,1.0,1.0,1.52825,2427.2528431861892,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,paper_style,V,50.0,sentence,4,1.0,1.0,1.2370468749999999,2462.4687418758936,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,strict_plain_list,V,50.0,sentence,1,1.0,1.0,1.3415,2286.918468838781,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,paper_style,V,70.0,sentence,4,1.0,1.0,1.236515625,2513.0464354874075,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,strict_plain_list,V,70.0,sentence,1,1.0,1.0,1.13475,2600.4412595629037,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,paper_style,N,50.0,word,5,1.0,1.0,0.635325,1956.9572783485924,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,paper_style,N,70.0,word,5,1.0,1.0,0.643375,1927.8161428212436,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,paper_style,S,50.0,word,5,1.0,1.0,0.6451125,2415.1829908091636,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,paper_style,S,70.0,word,1,1.0,1.0,0.6746875,2318.1949083637255,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,paper_style,SN,50.0,word,5,1.0,1.0,0.569775,2440.4618869528795,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,paper_style,SN,70.0,word,5,1.0,1.0,0.6816375,2420.981436715775,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,paper_style,SV,50.0,word,5,1.0,1.0,0.7012125,1932.2307813662476,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,paper_style,SV,70.0,word,5,1.0,1.0,0.6983625,1940.3500189558413,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,paper_style,V,50.0,word,5,1.0,1.0,0.6442249999999999,2055.399599703197,0.0,1.0,1.0
espeak_ng,hr,ChatGPT Plus,paper_style,V,70.0,word,5,1.0,1.0,0.7107125,2053.2937639688776,0.0,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,N,50.0,sentence,3,1.0,1.0,1.7073958333333332,6242.5983354366535,1.4012078411590791e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,strict_plain_list,N,50.0,sentence,2,1.0,1.0,1.59709375,5849.1972922529785,0.0,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,N,70.0,sentence,3,1.0,1.0,1.4983958333333334,4960.724831053366,1.2903891813771033e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,strict_plain_list,N,70.0,sentence,2,1.0,1.0,1.63771875,4781.197226326341,2.339290727051558e-05,1.0,1.0
