candidate,model,prompt_strategy,target_class,saturation_level,text_type,source_adapter,run_id
buba,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
bubanj,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
bubica,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
bubnjar,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
bubamara,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
bunar,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
buna,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
bumbar,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
bum,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
pumpa,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
puna,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
pun,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
puno,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
punina,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
unuk,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
unuka,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
munja,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
mumljanje,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
mumljati,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
numbat,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_152313
buba,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
bubanj,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
bunar,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
buna,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
bumbar,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
pumpa,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
pun,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
puna,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
puno,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
puni,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
punina,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
unuk,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
unuka,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
munja,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
munjina,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
mumljati,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
mumljanje,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
bubnjar,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
bubnjava,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
punjenje,ChatGPT Plus,strict_plain_list,N,50,word,manual_chatgpt_plus,20260604_152313
Mama mumlja punu bundu.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Mima puni bunar.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Muna puni pumpu.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Buba mami Nenu.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Nina puni bubanj.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Mamin unuk bubnja.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Buba mumlja mami.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Neno pumpa bunar.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Bubanj puni buku.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Mima nudi bunu.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Mama budi Nenu.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Nina mami unuka.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Unuk mumlja mami.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Buba puni bunar.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Neno budi mamu.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Mamin bunar pupa.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Bubnjar budi Ninu.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Mama pumpa gumu.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Nina mumlja puno.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Buba bubnja mami.,ChatGPT Plus,paper_style,N,50,sentence,manual_chatgpt_plus,20260604_152313
Mama puni pumpu.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
Buba budi mamu.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
Unuk nosi bundu.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
Mama nudi bunar.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
Nina puni bubanj.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
Bubanjar puni bubanj.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
Mama kupuje bundu.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
Unuk pumpa gumu.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
Buba pada u bunar.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
Mama budi unuka.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
Nena puni pumpu.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
Buba mumlja mami.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
Mama plete punđu.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
Unuk nosi pupu.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
Nina nudi mamu.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
Bunar puni munja.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
Mama kupuje pumpu.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
Buba nosi bundu.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
Nena budi babu.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
Unuk puni bunar.,ChatGPT Plus,strict_plain_list,N,50,sentence,manual_chatgpt_plus,20260604_152313
pun,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
puna,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
puno,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
puni,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
punu,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
pumpa,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
pumpe,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
pumpu,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
buba,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
bubu,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
bube,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
bubi,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
bubanj,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
bubnja,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
bubnju,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
bubnjem,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
buna,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
bunu,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
buni,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
munja,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_152313
pun,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
puna,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
puno,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
puni,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
punu,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
buna,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
bunu,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
buni,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
buba,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
bubu,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
bubi,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
pumpa,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
pumpu,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
pumpe,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
bubanj,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
bubnju,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
bubnja,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
munja,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
munju,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
unuk,ChatGPT Plus,strict_plain_list,N,70,word,manual_chatgpt_plus,20260604_152313
Mama pumpa pumpu.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Baba puni pumpu.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Mama puni bunar.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Baba pumpa puno.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Mama budi unuka.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Unuk budi babu.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Buba puni pumpu.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Mama nudi bananu.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Baba nudi pumu.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Unuk nudi mamu.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Mama puni bubanj.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Baba puni bunar.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Unuk pumpa pumpu.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Mama nudi bundu.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Baba nudi bunju.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Buba budi mamu.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Mama mumlja puno.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Baba mumlja puno.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Unuk puni bubanj.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Mama budi babu.,ChatGPT Plus,paper_style,N,70,sentence,manual_chatgpt_plus,20260604_152313
Mama puni pumpu.,ChatGPT Plus,strict_plain_list,N,70,sentence,manual_chatgpt_plus,20260604_152313
Buba puni pumpu.,ChatGPT Plus,strict_plain_list,N,70,sentence,manual_chatgpt_plus,20260604_152313
Baba puni pumpu.,ChatGPT Plus,strict_plain_list,N,70,sentence,manual_chatgpt_plus,20260604_152313
