word,source_candidates_count,example_candidates,models,source_adapters,prompt_strategies,target_classes,text_types,hjp_valid,hjp_entry_checked,reviewer,reviewer_notes
arkada,3,arkada,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,word,yes,,,
baba,11,Baba puni pumpu. | Baba pumpa puno. | Baba nudi pumu. | Baba puni bunar. | Baba nudi bunju.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence,yes,,,
babu,3,Nena budi babu. | Unuk budi babu. | Mama budi babu.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence,yes,,,
bananu,1,Mama nudi bananu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
boluje,4,Vol dugo boluje. | Vol dugo boluje,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,sentence,yes,,,
branu,2,Dabar gradi branu.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence,yes,,,
buba,19,buba | Buba mami Nenu. | Buba mumlja mami. | Buba puni bunar. | Buba bubnja mami.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence;word,yes,,,
bubamara,1,bubamara,ChatGPT Plus,manual_csv,paper_style,N,word,yes,,,
bubanj,18,bubanj | Nina puni bubanj. | Bubanj puni buku. | Bubanjar puni bubanj. | Mama puni bubanj.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence;word,yes,,,
bubanjar,1,Bubanjar puni bubanj.,ChatGPT Plus,manual_csv,strict_plain_list,N,sentence,no,,,
bube,1,bube,ChatGPT Plus,manual_csv,paper_style,N,word,yes,,,
bubi,2,bubi,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,word,yes,,,
bubica,1,bubica,ChatGPT Plus,manual_csv,paper_style,N,word,yes,,,
bubnja,4,Mamin unuk bubnja. | Buba bubnja mami. | bubnja,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence;word,yes,,,
bubnjar,3,bubnjar | Bubnjar budi Ninu.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence;word,yes,,,
bubnjava,1,bubnjava,ChatGPT Plus,manual_csv,strict_plain_list,N,word,yes,,,
bubnjem,1,bubnjem,ChatGPT Plus,manual_csv,paper_style,N,word,yes,,,
bubnju,2,bubnju,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,word,yes,,,
bubu,2,bubu,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,word,yes,,,
budi,10,Mama budi Nenu. | Neno budi mamu. | Bubnjar budi Ninu. | Buba budi mamu. | Mama budi unuka.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence,yes,,,
buku,1,Bubanj puni buku.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
bum,1,bum,ChatGPT Plus,manual_csv,paper_style,N,word,yes,,,
bumbar,2,bumbar,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,word,yes,,,
buna,4,buna,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,word,yes,,,
bunar,12,bunar | Mima puni bunar. | Neno pumpa bunar. | Buba puni bunar. | Mamin bunar pupa.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence;word,yes,,,
bundu,9,Mama mumlja punu bundu. | Unuk nosi bundu. | Mama kupuje bundu. | Buba nosi bundu. | Mama nudi bundu.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence,yes,,,
buni,2,buni,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,word,yes,,,
bunju,1,Baba nudi bunju.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
bunu,3,Mima nudi bunu. | bunu,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence;word,yes,,,
cica,8,cica | Cica nosi sir. | Cica sisa cicu. | Cica cijedi sisi. | Cica sisa cicu,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence;word,yes,,,
cici,7,Cici zec skače. | cici | Cici zec sisi. | Sin nosi cici. | Sivi zec cici.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence;word,yes,,,
cicu,11,Sisa sin cicu. | Zec sisa cicu | cicu | Zec sisa cicu. | Cica sisa cicu.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence;word,yes,,,
cijedi,3,Zec cijedi sok. | Sin cijedi sok | Cica cijedi sisi.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence,yes,,,
