candidate,model,prompt_strategy,target_class,saturation_level,text_type,source_adapter,run_id
babilonski,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
bankarstvo,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
banjotop,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
barem,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
barman,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
bartar,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
bazačić,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
bebeto,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
belega,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
belina,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
benzolični,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
bergantić,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
bezdani,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
bezglupan,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
bezgrješan,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
bezjamstvo,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
bezkreditno,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
bezmalo,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
bezmašan,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
bezmravac,llama3.1:8b,paper_style,N,50.0,word,ollama,20260604_143739
Novčanik,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Nepoznati,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Niski,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Novačka,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Neznamenit,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Nastupite,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Natječajni,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Novinarstvo,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Navigacija,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Nafta,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Naziv,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Netko,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Ništa,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Nakon,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Napomenuti,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Navijači,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Natjecanje,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Nađi,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Naglašen,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Nižinski,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,20260604_143739
Kobilica jede jabuke.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Neki čovjek nije bio tu.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Znači da sam morao iti.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Mnogi se nisu složili.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Neznanci su počeli gnusiti.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Gospodin je kupio dvije kobilice.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Novine će biti dostupne od sutra.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Neka osoba nije htjela ići na putovanje.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Stari čovjek je došao s njom.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Mladić je otišao u glazbu.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Učiteljica nije dala dovoljno zadataka.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Neki se čovjek počeo grđati.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Neznanci su začepili cesta.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Novinar će biti tu sutra navečer.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Kobilice nisu bile bliske.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Starija žena nije htjela iti.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Neki mladić je otišao na putovanje.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Žena se počela gnusiti od njega.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Glazbenik nije htjel idući na koncert.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Neznanci su počeli grđati cesta.,llama3.1:8b,paper_style,N,50.0,sentence,ollama,20260604_143739
Niski čovjek jede hranu.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
Razgovor nije zanimljiv.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
Novinar je bio uvjeren.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
Žena je znala pješačiti.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
Nova škola će biti sjajna.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
Čovjek mora znati razmišljati.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
Srednja škola je bila loša.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
Kći je bila visoka kao staklo.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
Ljudi su znali šiću kupiti.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
Voda nije bila hladna.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
Stari čovjek je imao psovke.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
Nova knjiga će biti jako skučena.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
Žene su znale da se igraju.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
Rijeka je bila strana.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
Novac nije bio dovoljan.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
Mladić je pokušavao zaboraviti.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
Baba je znala šljive kupiti.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
Ljudi su znali što čine.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
Srednji razumčovjek je volio čitat.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
Nova škola će biti bistra.,llama3.1:8b,strict_plain_list,N,50.0,sentence,ollama,20260604_143739
"Nisam u stanju dati detaljan popis riječi koje zadovoljavaju postavljene uvjete jer to zahtijeva vrlo veliku količinu procesiranja i obrađivanja velikog broja podataka, a nije tako jednostavno rješiti bez pristupa mrežnim tehnikama i izvorima kao što je https://hjp.znanje.hr. Međutim, detaljno pojasnjenje koji bi omogućio izradu takvog popisa nije dostupno u ovom formatu.",llama3.1:8b,paper_style,N,70.0,word,ollama,20260604_143739
novčić,llama3.1:8b,strict_plain_list,N,70.0,word,ollama,20260604_143739
nežni,llama3.1:8b,strict_plain_list,N,70.0,word,ollama,20260604_143739
