candidate_id,candidate,normalized_text,tts_adapter,tts_model_or_voice,audio_path,target_class,saturation_level,text_type,prompt_strategy,human_intelligibility_score,human_naturalness_score,pronunciation_notes,clinical_suitability_notes
20260604_160319_00040,Mama mumlja punu bundu.,mama mumlja punu bundu,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00040.wav,N,50.0,sentence,paper_style,1,1,,
20260604_160319_00040,Mama mumlja punu bundu.,mama mumlja punu bundu,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00040.wav,N,50.0,sentence,paper_style,5,3,,
20260604_160319_00040,Mama mumlja punu bundu.,mama mumlja punu bundu,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00040.wav,N,50.0,sentence,paper_style,4,4,,
20260604_160319_00120,Mama pumpa pumpu.,mama pumpa pumpu,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00120.wav,N,70.0,sentence,paper_style,2,2,,
20260604_160319_00120,Mama pumpa pumpu.,mama pumpa pumpu,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00120.wav,N,70.0,sentence,paper_style,5,4,,
20260604_160319_00120,Mama pumpa pumpu.,mama pumpa pumpu,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00120.wav,N,70.0,sentence,paper_style,4,5,,
20260604_160319_00370,Draga rada radi.,draga rada radi,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00370.wav,S,50.0,sentence,paper_style,3,3,,
20260604_160319_00370,Draga rada radi.,draga rada radi,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00370.wav,S,50.0,sentence,paper_style,3,1,,
20260604_160319_00370,Draga rada radi.,draga rada radi,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00370.wav,S,50.0,sentence,paper_style,5,5,,
20260604_160319_00442,Radar rado radi.,radar rado radi,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00442.wav,S,70.0,sentence,paper_style,4,3,,
20260604_160319_00442,Radar rado radi.,radar rado radi,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00442.wav,S,70.0,sentence,paper_style,4,2,,
20260604_160319_00442,Radar rado radi.,radar rado radi,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00442.wav,S,70.0,sentence,paper_style,4,5,,
20260604_160319_00200,Vol voli glog.,vol voli glog,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00200.wav,SN,50.0,sentence,paper_style,2,2,,
20260604_160319_00200,Vol voli glog.,vol voli glog,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00200.wav,SN,50.0,sentence,paper_style,5,3,,
20260604_160319_00200,Vol voli glog.,vol voli glog,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00200.wav,SN,50.0,sentence,paper_style,5,5,,
20260604_160319_00282,Vol voli lov.,vol voli lov,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00282.wav,SN,70.0,sentence,paper_style,3,3,,
20260604_160319_00282,Vol voli lov.,vol voli lov,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00282.wav,SN,70.0,sentence,paper_style,5,3,,
20260604_160319_00282,Vol voli lov.,vol voli lov,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00282.wav,SN,70.0,sentence,paper_style,3,5,,
20260604_160319_00521,Dječje čete šetaju.,dječje čete šetaju,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00521.wav,SV,50.0,sentence,paper_style,4,4,,
20260604_160319_00521,Dječje čete šetaju.,dječje čete šetaju,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00521.wav,SV,50.0,sentence,paper_style,4,3,,
20260604_160319_00521,Dječje čete šetaju.,dječje čete šetaju,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00521.wav,SV,50.0,sentence,paper_style,1,1,,
20260604_160319_00597,Tete tješe čete.,tete tješe čete,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00597.wav,SV,70.0,sentence,paper_style,1,1,,
20260604_160319_00597,Tete tješe čete.,tete tješe čete,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00597.wav,SV,70.0,sentence,paper_style,5,3,,
20260604_160319_00597,Tete tješe čete.,tete tješe čete,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00597.wav,SV,70.0,sentence,paper_style,2,2,,
20260604_160319_00680,Sivi zec visi.,sivi zec visi,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00680.wav,V,50.0,sentence,paper_style,4,4,,
20260604_160319_00680,Sivi zec visi.,sivi zec visi,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00680.wav,V,50.0,sentence,paper_style,5,3,,
20260604_160319_00680,Sivi zec visi.,sivi zec visi,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00680.wav,V,50.0,sentence,paper_style,5,5,,
