candidate,model,prompt_strategy,target_class,saturation_level,text_type,source_adapter,run_id
buna,ChatGPT Plus,paper_style,N,40,word,manual_chatgpt_plus,20260604_114212
bunar,ChatGPT Plus,paper_style,N,40,word,manual_chatgpt_plus,20260604_114212
bunda,ChatGPT Plus,paper_style,N,40,word,manual_chatgpt_plus,20260604_114212
pumpa,ChatGPT Plus,paper_style,N,40,word,manual_chatgpt_plus,20260604_114212
pupnuti,ChatGPT Plus,paper_style,N,40,word,manual_chatgpt_plus,20260604_114212
punina,ChatGPT Plus,paper_style,N,40,word,manual_chatgpt_plus,20260604_114212
bunovan,ChatGPT Plus,paper_style,N,40,word,manual_chatgpt_plus,20260604_114212
pupoljak,ChatGPT Plus,paper_style,N,40,word,manual_chatgpt_plus,20260604_114212
napuniti,ChatGPT Plus,paper_style,N,40,word,manual_chatgpt_plus,20260604_114212
bumbum,ChatGPT Plus,paper_style,N,40,word,manual_chatgpt_plus,20260604_114212
bubanj,ChatGPT Plus,paper_style,N,40,word,manual_chatgpt_plus,20260604_114212
buna,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_114212
bunar,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_114212
bunda,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_114212
pumpa,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_114212
punina,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_114212
bubanj,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_114212
unuk,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_114212
pun,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_114212
puna,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_114212
puniti,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_114212
napuniti,ChatGPT Plus,paper_style,N,50,word,manual_chatgpt_plus,20260604_114212
pun,ChatGPT Plus,paper_style,N,60,word,manual_chatgpt_plus,20260604_114212
puna,ChatGPT Plus,paper_style,N,60,word,manual_chatgpt_plus,20260604_114212
buna,ChatGPT Plus,paper_style,N,60,word,manual_chatgpt_plus,20260604_114212
unuk,ChatGPT Plus,paper_style,N,60,word,manual_chatgpt_plus,20260604_114212
pumpa,ChatGPT Plus,paper_style,N,60,word,manual_chatgpt_plus,20260604_114212
bunda,ChatGPT Plus,paper_style,N,60,word,manual_chatgpt_plus,20260604_114212
bunar,ChatGPT Plus,paper_style,N,60,word,manual_chatgpt_plus,20260604_114212
bubanj,ChatGPT Plus,paper_style,N,60,word,manual_chatgpt_plus,20260604_114212
punina,ChatGPT Plus,paper_style,N,60,word,manual_chatgpt_plus,20260604_114212
pupak,ChatGPT Plus,paper_style,N,60,word,manual_chatgpt_plus,20260604_114212
bubnuti,ChatGPT Plus,paper_style,N,60,word,manual_chatgpt_plus,20260604_114212
pun,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_114212
puna,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_114212
punu,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_114212
bum,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_114212
buna,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_114212
buba,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_114212
buban,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_114212
bubanj,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_114212
pumpa,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_114212
munja,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_114212
pupnuti,ChatGPT Plus,paper_style,N,70,word,manual_chatgpt_plus,20260604_114212
pun,ChatGPT Plus,paper_style,N,80,word,manual_chatgpt_plus,20260604_114212
punu,ChatGPT Plus,paper_style,N,80,word,manual_chatgpt_plus,20260604_114212
punim,ChatGPT Plus,paper_style,N,80,word,manual_chatgpt_plus,20260604_114212
punom,ChatGPT Plus,paper_style,N,80,word,manual_chatgpt_plus,20260604_114212
um,ChatGPT Plus,paper_style,N,80,word,manual_chatgpt_plus,20260604_114212
umu,ChatGPT Plus,paper_style,N,80,word,manual_chatgpt_plus,20260604_114212
bum,ChatGPT Plus,paper_style,N,80,word,manual_chatgpt_plus,20260604_114212
bumom,ChatGPT Plus,paper_style,N,80,word,manual_chatgpt_plus,20260604_114212
pup,ChatGPT Plus,paper_style,N,80,word,manual_chatgpt_plus,20260604_114212
pupu,ChatGPT Plus,paper_style,N,80,word,manual_chatgpt_plus,20260604_114212
pupom,ChatGPT Plus,paper_style,N,80,word,manual_chatgpt_plus,20260604_114212
gol,ChatGPT Plus,paper_style,SN,40,word,manual_chatgpt_plus,20260604_114212
vol,ChatGPT Plus,paper_style,SN,40,word,manual_chatgpt_plus,20260604_114212
lov,ChatGPT Plus,paper_style,SN,40,word,manual_chatgpt_plus,20260604_114212
glog,ChatGPT Plus,paper_style,SN,40,word,manual_chatgpt_plus,20260604_114212
lovor,ChatGPT Plus,paper_style,SN,40,word,manual_chatgpt_plus,20260604_114212
logo,ChatGPT Plus,paper_style,SN,40,word,manual_chatgpt_plus,20260604_114212
vogal,ChatGPT Plus,paper_style,SN,40,word,manual_chatgpt_plus,20260604_114212
govor,ChatGPT Plus,paper_style,SN,40,word,manual_chatgpt_plus,20260604_114212
ulov,ChatGPT Plus,paper_style,SN,40,word,manual_chatgpt_plus,20260604_114212
ohol,ChatGPT Plus,paper_style,SN,40,word,manual_chatgpt_plus,20260604_114212
vlaga,ChatGPT Plus,paper_style,SN,40,word,manual_chatgpt_plus,20260604_114212
gol,ChatGPT Plus,paper_style,SN,50,word,manual_chatgpt_plus,20260604_114212
vol,ChatGPT Plus,paper_style,SN,50,word,manual_chatgpt_plus,20260604_114212
lov,ChatGPT Plus,paper_style,SN,50,word,manual_chatgpt_plus,20260604_114212
glog,ChatGPT Plus,paper_style,SN,50,word,manual_chatgpt_plus,20260604_114212
