word,source_candidates_count,example_candidates,models,source_adapters,prompt_strategies,target_classes,text_types,hjp_valid,hjp_entry_checked,reviewer,reviewer_notes
arka,1,arka,ChatGPT Plus,manual_csv,paper_style,S,word,,,,
bananu,1,Beba nudi bananu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
bazen,1,Pumpa puni bazen.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
beba,5,Beba ima bundu. | Beba nosi bundu. | Beba ima bubanj. | Beba nosi bubanj. | Beba nudi bananu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
bocu,5,Mama puni bocu. | Pumpa puni bocu. | Unuk puni bocu. | Unuk puni punu bocu. | Pumpa puni punu bocu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
bombon,1,Mama nudi bombon.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
bruji,1,Pun bubanj puno bruji.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
buba,1,buba,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
buban,1,buban,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
bubanj,13,bubanj | Beba ima bubanj. | Beba nosi bubanj. | Bubanj puni punu sobu. | Bubanj puni punu kuću.,ChatGPT Plus,manual_csv,paper_style,N,sentence;word,,,,
bubnja,1,Unuk bubnja punom rukom.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
bubnuti,1,bubnuti,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
bum,2,bum,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
bumbum,1,bumbum,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
bumom,1,bumom,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
buna,4,buna,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
bunar,7,bunar | Mama puni bunar. | Bunar ima pumpu. | Puna pumpa puni bunar. | Bubanj puni pun bunar.,ChatGPT Plus,manual_csv,paper_style,N,sentence;word,,,,
bunaru,1,Puna pumpa pomaže bunaru.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
bunda,4,bunda | Puna bunda pomaže unuku.,ChatGPT Plus,manual_csv,paper_style,N,sentence;word,,,,
bundu,8,Mama kupuje bundu. | Mama nosi bundu. | Mama pere bundu. | Mama ima bundu. | Beba ima bundu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
bunovan,1,bunovan,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
cesta,1,cesta,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
cestom,2,Teta šeće cestom. | Dijete šeta cestom.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
cic,2,cic,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
cica,1,cica,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
cice,1,cice,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
cici,2,cici,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
cicis,1,cicis,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
cicu,1,cicu,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
cisi,1,cisi,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
cista,2,cista,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
citat,1,citat,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
cizi,1,cizi,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
daje,18,Draga kava daje rad. | Kratak kadar daje rad. | Radar daje kratak kadar. | Rad daje drag dar. | Kadar rada daje dar.,ChatGPT Plus,manual_csv,paper_style,S,sentence,,,,
dar,11,dar | Rad daje drag dar. | Kadar rada daje dar. | Kratak rad daje dar. | Rad daje dar.,ChatGPT Plus,manual_csv,paper_style,S,sentence;word,,,,
dara,2,Draga Dara radi. | Dara radi kraj radara.,ChatGPT Plus,manual_csv,paper_style,S,sentence,,,,
dijete,10,Dijete čita tekst. | Dijete piše test. | Dijete šeta cestom. | Teta čeka dijete. | Dijete traži četku.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
dječak,1,Dječak čita test.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
dječje,2,Dječje teze teku. | Dječje četke čekaju.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
dječji,4,dječji,ChatGPT Plus,manual_csv,paper_style,SV,word,,,,
drag,2,drag | Rad daje drag dar.,ChatGPT Plus,manual_csv,paper_style,S,sentence;word,,,,
draga,10,draga | Draga kava daje rad. | Rak kopa kraj draga. | Draga Dara radi. | Draga kći radi.,ChatGPT Plus,manual_csv,paper_style,S,sentence;word,,,,
draž,7,draž | Kadar daje draž. | Radar traži draž. | Rak daje draž. | Rad stvara draž.,ChatGPT Plus,manual_csv,paper_style,S,sentence;word,,,,
družba,2,družba,ChatGPT Plus,manual_csv,paper_style,S,word,,,,
država,2,država,ChatGPT Plus,manual_csv,paper_style,S,word,,,,
dugo,1,Golub dugo gleda.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,,,,
garaža,1,garaža,ChatGPT Plus,manual_csv,paper_style,S,word,,,,
glava,1,glava,ChatGPT Plus,manual_csv,paper_style,SN,word,,,,
gleda,12,Vol gleda goluba. | Golub gleda vola. | Golub dugo gleda. | Golub gleda lovca. | Vola gleda golub.,ChatGPT Plus,manual_csv,paper_style,S;SN,sentence,,,,
glog,17,glog | Golub voli glog. | Vol voli glog. | Glog voli vlagu. | Glog gleda lovac.,ChatGPT Plus,manual_csv,paper_style,SN,sentence;word,,,,
gol,8,gol | Gol vol voli lov. | Gol vol voli glog. | Gol vol voli lovor.,ChatGPT Plus,manual_csv,paper_style,SN,sentence;word,,,,
goli,3,Goli vol gleda glog. | Goli vol gleda lovor. | Goli golub voli glog.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,,,,
golo,2,golo,ChatGPT Plus,manual_csv,paper_style,SN,word,,,,
golog,2,Golog vola vole. | Golog vola love.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,,,,
gologa,1,gologa,ChatGPT Plus,manual_csv,paper_style,SN,word,,,,
golom,1,golom,ChatGPT Plus,manual_csv,paper_style,SN,word,,,,
golub,19,Golub voli lovor. | Golub voli glog. | Golub voli goluba. | Golub gleda vola. | Ohol golub guguće.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,,,,
goluba,3,Golub voli goluba. | Lovac lovi goluba. | Vol gleda goluba.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,,,,
govor,5,govor,ChatGPT Plus,manual_csv,paper_style,SN,word,,,,
grada,4,Radar radi kraj grada. | Kadar radi kraj grada. | Radar gleda kraj grada. | Krava pase kraj grada.,ChatGPT Plus,manual_csv,paper_style,S,sentence,,,,
građa,1,građa,ChatGPT Plus,manual_csv,paper_style,S,word,,,,
guguće,1,Ohol golub guguće.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,,,,
hvata,1,Radar hvata kratak kadar.,ChatGPT Plus,manual_csv,paper_style,S,sentence,,,,
i,13,Sin i zec sjede. | Sin i psi sjede. | Zec i sin sjede. | Psi i zec sjede. | Sin i zec vise.,ChatGPT Plus,manual_csv,paper_style,V,sentence,,,,
ima,8,Mama ima bundu. | Beba ima bundu. | Beba ima bubanj. | Bunar ima pumpu. | Unuk ima pun bubanj.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
iza,7,Sin visi iza zida. | Sin sjedi iza zida. | Zec sjedi iza zida. | Psi sjede iza zida. | Sin sije iza zida.,ChatGPT Plus,manual_csv,paper_style,V,sentence,,,,
janje,1,Teta četka janje.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
je,2,Četka je čista. | Teta je četvrta.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
