word,hunspell_valid,source_candidates_count,example_candidates,models,source_adapters,prompt_strategies,target_classes,text_types,priority,review_reason,manual_hjp_valid,reviewer_notes
arka,yes,1,arka,ChatGPT Plus,manual_csv,paper_style,S,word,low,hunspell_valid_or_not_screened,,
bananu,yes,1,Beba nudi bananu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,low,hunspell_valid_or_not_screened,,
bazen,yes,1,Pumpa puni bazen.,ChatGPT Plus,manual_csv,paper_style,N,sentence,low,hunspell_valid_or_not_screened,,
beba,yes,5,Beba ima bundu.; Beba nosi bundu.; Beba ima bubanj.; Beba nosi bubanj.; Beba nudi bananu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,medium,high_frequency_word,,
bocu,yes,5,Mama puni bocu.; Pumpa puni bocu.; Unuk puni bocu.; Unuk puni punu bocu.; Pumpa puni punu bocu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,medium,high_frequency_word,,
bombon,yes,1,Mama nudi bombon.,ChatGPT Plus,manual_csv,paper_style,N,sentence,low,hunspell_valid_or_not_screened,,
bruji,yes,1,Pun bubanj puno bruji.,ChatGPT Plus,manual_csv,paper_style,N,sentence,low,hunspell_valid_or_not_screened,,
buba,yes,1,buba,ChatGPT Plus,manual_csv,paper_style,N,word,low,hunspell_valid_or_not_screened,,
buban,no,1,buban,ChatGPT Plus,manual_csv,paper_style,N,word,high,hunspell_invalid_technical_candidate,,
bubanj,yes,13,bubanj; Beba ima bubanj.; Beba nosi bubanj.; Bubanj puni punu sobu.; Bubanj puni punu kuću.,ChatGPT Plus,manual_csv,paper_style,N,word; sentence,high,rare_phoneme_word,,
bubnja,yes,1,Unuk bubnja punom rukom.,ChatGPT Plus,manual_csv,paper_style,N,sentence,high,rare_phoneme_word,,
bubnuti,yes,1,bubnuti,ChatGPT Plus,manual_csv,paper_style,N,word,low,hunspell_valid_or_not_screened,,
bum,yes,2,bum,ChatGPT Plus,manual_csv,paper_style,N,word,low,hunspell_valid_or_not_screened,,
bumbum,no,1,bumbum,ChatGPT Plus,manual_csv,paper_style,N,word,high,hunspell_invalid_technical_candidate,,
bumom,no,1,bumom,ChatGPT Plus,manual_csv,paper_style,N,word,high,hunspell_invalid_technical_candidate,,
buna,yes,4,buna,ChatGPT Plus,manual_csv,paper_style,N,word,medium,high_frequency_word,,
bunar,yes,7,bunar; Mama puni bunar.; Bunar ima pumpu.; Puna pumpa puni bunar.; Bubanj puni pun bunar.,ChatGPT Plus,manual_csv,paper_style,N,word; sentence,medium,high_frequency_word,,
bunaru,yes,1,Puna pumpa pomaže bunaru.,ChatGPT Plus,manual_csv,paper_style,N,sentence,low,hunspell_valid_or_not_screened,,
bunda,yes,4,bunda; Puna bunda pomaže unuku.,ChatGPT Plus,manual_csv,paper_style,N,word; sentence,medium,high_frequency_word,,
bundu,yes,8,Mama kupuje bundu.; Mama nosi bundu.; Mama pere bundu.; Mama ima bundu.; Beba ima bundu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,medium,high_frequency_word,,
bunovan,yes,1,bunovan,ChatGPT Plus,manual_csv,paper_style,N,word,low,hunspell_valid_or_not_screened,,
cesta,yes,1,cesta,ChatGPT Plus,manual_csv,paper_style,V,word,low,hunspell_valid_or_not_screened,,
cestom,yes,2,Teta šeće cestom.; Dijete šeta cestom.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,low,hunspell_valid_or_not_screened,,
cic,yes,2,cic,ChatGPT Plus,manual_csv,paper_style,V,word,low,hunspell_valid_or_not_screened,,
cica,yes,1,cica,ChatGPT Plus,manual_csv,paper_style,V,word,low,hunspell_valid_or_not_screened,,
cice,yes,1,cice,ChatGPT Plus,manual_csv,paper_style,V,word,low,hunspell_valid_or_not_screened,,
cici,yes,2,cici,ChatGPT Plus,manual_csv,paper_style,V,word,low,hunspell_valid_or_not_screened,,
cicis,no,1,cicis,ChatGPT Plus,manual_csv,paper_style,V,word,high,hunspell_invalid_technical_candidate,,
cicu,yes,1,cicu,ChatGPT Plus,manual_csv,paper_style,V,word,low,hunspell_valid_or_not_screened,,
cisi,no,1,cisi,ChatGPT Plus,manual_csv,paper_style,V,word,high,hunspell_invalid_technical_candidate,,
cista,yes,2,cista,ChatGPT Plus,manual_csv,paper_style,V,word,low,hunspell_valid_or_not_screened,,
citat,yes,1,citat,ChatGPT Plus,manual_csv,paper_style,V,word,low,hunspell_valid_or_not_screened,,
cizi,no,1,cizi,ChatGPT Plus,manual_csv,paper_style,V,word,high,hunspell_invalid_technical_candidate,,
daje,yes,18,Draga kava daje rad.; Kratak kadar daje rad.; Radar daje kratak kadar.; Rad daje drag dar.; Kadar rada daje dar.,ChatGPT Plus,manual_csv,paper_style,S,sentence,medium,high_frequency_word,,
dar,yes,11,dar; Rad daje drag dar.; Kadar rada daje dar.; Kratak rad daje dar.; Rad daje dar.,ChatGPT Plus,manual_csv,paper_style,S,word; sentence,medium,high_frequency_word,,
dara,yes,2,Draga Dara radi.; Dara radi kraj radara.,ChatGPT Plus,manual_csv,paper_style,S,sentence,low,hunspell_valid_or_not_screened,,
dijete,yes,10,Dijete čita tekst.; Dijete piše test.; Dijete šeta cestom.; Teta čeka dijete.; Dijete traži četku.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,medium,high_frequency_word,,
dječak,yes,1,Dječak čita test.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,low,hunspell_valid_or_not_screened,,
dječje,yes,2,Dječje teze teku.; Dječje četke čekaju.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,low,hunspell_valid_or_not_screened,,
