candidate_id,candidate,tts_adapter,target_class,saturation_level,text_type,human_intelligibility_score,human_naturalness_score,wer,cer,pronunciation_notes,clinical_suitability_notes,audio_path
20260604_160319_00040,Mama mumlja punu bundu.,coqui_vits_hr,N,50.0,sentence,1,1,1.0,0.3181818181818182,,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00040.wav
20260604_160319_00040,Mama mumlja punu bundu.,espeak_ng,N,50.0,sentence,5,3,1.0,0.2727272727272727,,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00040.wav
20260604_160319_00040,Mama mumlja punu bundu.,speecht5_hr,N,50.0,sentence,4,4,0.5,0.18181818181818182,,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00040.wav
20260604_160319_00120,Mama pumpa pumpu.,coqui_vits_hr,N,70.0,sentence,2,2,1.0,0.5625,,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00120.wav
20260604_160319_00120,Mama pumpa pumpu.,espeak_ng,N,70.0,sentence,5,4,0.6666666666666666,0.0625,,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00120.wav
20260604_160319_00120,Mama pumpa pumpu.,speecht5_hr,N,70.0,sentence,4,5,0.6666666666666666,0.4375,,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00120.wav
20260604_160319_00370,Draga rada radi.,coqui_vits_hr,S,50.0,sentence,3,3,2.0,0.4666666666666667,,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00370.wav
20260604_160319_00370,Draga rada radi.,espeak_ng,S,50.0,sentence,3,1,1.0,0.5333333333333333,,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00370.wav
20260604_160319_00370,Draga rada radi.,speecht5_hr,S,50.0,sentence,5,5,0.0,0.0,,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00370.wav
20260604_160319_00442,Radar rado radi.,coqui_vits_hr,S,70.0,sentence,4,3,0.6666666666666666,0.13333333333333333,,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00442.wav
